URL,Title,Description,Price_USDC,Network
https://nacian.finance/api/x402/pools/top-pools-by-apr,Top Pools By Apr,"Calculate APR for liquidity pools across multiple chains (Arbitrum, Base, Ethereum). Tokens do not necessarily need to be token0 and token1 respectively in the pool, they are reordered automatically. Price range must be specified based on the ratio of token0 / token1. For example, if the provided...",$0.020000,base
https://lowpaymentfee.com/api/v1/item/50,50,Premium API Access,$0.020000,base
https://api.itsgloria.ai/news,News,"Get the latest news about a covered news topic, delivering the most recent 10 headlines.",$0.030000,base
https://agents.402box.io/prediction_markets,Prediction Markets,"AI-powered prediction markets intelligence agent (powered by Perplexity) - Get the latest news, trends, and real-time updates affecting prediction markets on Polymarket and Kalshi",$0.030000,base
https://gifu-server.onrender.com/api/x402/search/random,Random,AI-generated random GIF or image search with creative prompts,$0.030000,base
https://x402.slinkylayer.ai/api/v1/proxy/2ce94988-5413-4458-bac6-5c523d998dc5/text-anonymize,Text Anonymize,Accepts JSON input and anonymizes sensitive information in the provided text using the selected provider (Azure or others).,$0.050000,base
https://agents.402box.io/x_searcher,X Searcher,"AI-powered X/Twitter search agent - Get real-time trends, news, and social media insights",$0.050000,base
http://x402.silverbackdefi.app/api/v1/swap,Swap,No description provided,$0.050000,eip155:8453
https://x402.aiape.tech/signals,Signals,No description provided,$0.100000,base
https://api.itsgloria.ai/news-by-keyword,News By Keyword,"Get the news about a topic by keyword, delivering the most recent 20 headlines.",$0.100000,base
http://x402.kirha.com/search,Search,Ask anything. Get Context from S-tier providers > https://app.kirha.com/providers > Payment at the granularity of the data point.,$0.100000,base
https://www.jesuschrist.sh/chat,Chat,Talk to Jesus,$0.100000,base
https://api.grove.city/v1/fund,Fund,Fund your Grove API Account with 1 USDC to tip creators on the internet.,$1.000000,base
https://x402factory.ai/base/bridge,Bridge,"Base → Solana USDC microbridge discovery. Default example uses 1.00 USDC deposited to the Base bridge wallet. Provide a Solana receiver address and an amount (min 0.01 USDC, max 50.00 USDC, steps of 0.01) to create a concrete bridge quote. The bridge charges a 2.5% commission; the remainder is de...",$1.000000,base
